date,url,text,sentiment,title
2017-03-06 20:45:40+00:00,http://americannews.com/gop-reporter-leaks-proof-obama-spying-trump-theres-absolutely-no-denying/,-0.035410831,"GOP Reporter Leaks Proof Obama Was Spying On Trump, ThereÕs Absolutely No Denying This","In the past few months since losing the presidential election, Democrats have focused their efforts on pushing ÒscandalsÓ involving Donald Trump in an effort to take him down. Almost every single one of their attempts has backfired. That was evidenced once again when Trump revealed the Obama administration had wiretapped Trump Tower.
Of course, ObamaÕs team has denied that claim. Now, conservative radio host Mark Levin has offered proof that the wiretap did, in fact, take place.
ÒWe absolutely know this is true, the FBI did a preliminary criminal investigation based on a potential connection between a server in Trump Tower and a couple of Russian banks,Ó Levin commented.
He then went on to explain how ObamaÕs team filed two federal warrants through the Foreign Intelligence Surveillance Act to investigate TrumpÕs campaign. The first request was ultimately denied, but the second request in October was granted.
ÒThe Obama administration tried to turn it into a FISA court investigation in June,Ó Levin argued. ÒApparently the first application they submitted named Trump. Even the FISA court said no. There wasnÕt enough evidence to make out probably cause involving Donald Trump.Ó
What do you think? Is Obama guilty as charged?"
2017-03-06 05:09:27+00:00,http://americannews.com/melania-trump-clueless-cameras-captured-no-one-expected-watch/,0.090431097,"Melania Trump Was Clueless That Cameras Were On, What They CapturedÉ No One Expected [WATCH]","As First Lady, Michelle Obama was too focused on taking vacations to take her responsibilities seriously. Just weeks into her role, Melania Trump is showing America what a real First Lady should act like. On Thursday morning, she dropped everything to visit a New York City hospital to read to sick children for ÒRead Across America Day.Ó
Melania reportedly read the book ÒOh, the Places YouÕll Go!Ó by Dr. Seuss, claiming it is one of her favorite books.
ÒI came to encourage you to readÑand to think about what you want to achieve in life,Ó Melania said to the group of children. She also spoke with their parents.
This comes just days after Melania visited the ChildrenÕs National Medical Center in Washington, D.C. It is clear that she is prioritizing our nationÕs children during her time as First LadyÑin a much more powerful way than switching up their lunch menu."
2017-03-06 04:59:50+00:00,http://americannews.com/watch-closely-trump-just-boarding-air-force-one-video/,0.169093407,Watch Closely What Trump Did Just As He Was Boarding Air Force One [VIDEO],"On Friday, President Donald Trump boarded Air Force One onto head to Central Florida so that he could tour St. Andrew Catholic School and attend an even promoting school choice. Surprisingly, Senator Marco Rubio also boarded the jet with Trump and planned to visit the school with him.
Also aboard Air Force One were Education Secretary Betsy DeVos, Ivanka Trump, and Jared Kushner. When they arrived in Florida, Gov. Rick Scott was on the tarmac ready to meet them.
Rubio was TrumpÕs major rival during the Republican primaries, gaining notoriety for making fun of is Òsmall handsÓ and spray tan. But he and Trump were able to put their differences aside to focus on a shared effort: to support school choice.
ÒI am calling upon members of both parties to pass an education bill that fund school choice for disadvantaged youth, including millions of African-American and Latino children,Ó Trump said on Tuesday. ÒThese families should be free to choose the public, private, charter, magnet, religious or home school that is right for them.Ó
What do you think? Do you agree with TrumpÕs stance on school choice?"
2017-03-06 04:58:39+00:00,http://americannews.com/obama-caught-funneling-billions-secret-anti-trump-campaign-see-details/,0.005137845,Obama Caught Funneling Billions Into Secret Anti-Trump CampaignÉ [SEE DETAILS],"A congressional investigation has just revealed that Barack ObamaÕs White House channeled billions of dollars to activists groups in what is being labeled a ÒDepartment of Justice slush fund scheme.Ó
ÒItÕs clear partisan politics played a role in the illicit actions that were made,Ó Republican Representative John Ratcliffe of Texas noted. ÒThe DOJ is the last place this should have occurred.Ó
According to Truth Monitor, the House Judiciary Committee discovered that funds were being dispersed to a web of nonprofit organizations engaged in grass-roots activism.
ÒAdvocates for big government and progressive power are using the Justice Department to extort money from corporations,Ó Judicial WatchÕs Tom Fitton commented. ÒItÕs a shakedown. ItÕs corrupt, pure and simple.Ó
So far, investigators have discovered that $3 billion has been paid to Ônon-victim entitles.Õ That number is only expected to grow.
ÒThe underlying problem with the slush fund is we donÕt know exactly where the money is going,Ó Ted Frank, director of The Competitive Enterprise Institute Center for Class Action Fairness, added. Last year, legislation making it impossible for schemes like this continue was eliminated. Lawmakers are attempting to reintroduce it.
ÒThis is not a Republican or Democrat issue, but one of good government,Ó Republican Senator James Lankford of Oklahoma concluded. ÒActions settled by the federal government should go back to the federal government, back to the taxpayer.Ó
ÒThere is massive left-wing infrastructure in place trying to protect the monstrous government created by the Obama administration,Ó Fitton argued.
What do you think? Does Obama need to be exposed for this?"
2017-03-05 20:38:51+00:00,http://americannews.com/judge-pirror-slams-ungrateful-libs-attacking-trump/,0.145454545,Judge Pirror Slams Ungrateful Libs For Attacking Trump,"During his first speech to Congress as President of the United States, Donald Trump took a moment to honor
Carryn Owens, the wife of slain Navy SEAL Ryan Owens. To patriotic Americans throughout the country, this
was a beautiful demonstration of TrumpÕs true respect for those who sacrifice to protect the country he
loves. To angry liberals, it was an opportunity to attack Trump once more.
It didnÕt take long for liberals to accuse Trump of using OwensÕ as a pawnÑa truly disgusting claim. Owens is
not a helpless tool to boost TrumpÕs ratings. She is a human being who has demonstrated a strength that
most of us will never have too.
Judge Jeanine Pirro recognized this, so she took to the streets to ask people for their reaction to this
criticism. HereÕs what they had to say:
<iframe
src=Óhttps://www.facebook.com/plugins/video.php?href=https%3A%2F%2Fwww.facebook.com%2FFox
News%2Fvideos%2F10155164062971336%2F&show_text=0&width=560? width=Ó560? height=Ó315?
style=Óborder:none;overflow:hiddenÓ scrolling=ÓnoÓ frameborder=Ó0? allowTransparency=ÓtrueÓ
allowFullScreen=ÓtrueÓ></iframe>"
2017-03-05 20:26:28+00:00,http://americannews.com/obama-plants-sickening-land-mine-trump-step-treason/,0.043981481,Obama Plants Sickening Land Mine For Trump To Step OnÉ This Is Treason,"In another over-the- top display of hypocrisy, Democrats have been calling for the resignation of Attorney
General Jeff Sessions for his two meetings with the Russian ambassador to the United States last year.
Despite what the mainstream media is telling you, SessionsÕ meeting was not a top-secret affairÑin fact, the
whole thing was orchestrated by the Obama administration.
Hans von Spakovsky, an attorney and respected legal pundit, recently told Fox News that the first meeting
took place at a conference on ÔGlobal Partners in DemocracyÕ and the RNC.
ÒThe Obama State Department handled all of the coordination with ambassadors and their staff, of which
there were about 100 at the conference,Ó von Spakovsky wrote. ÒApparently, after Sessions finished
speaking, a small group of ambassadorsÑincluding the Russian ambassadorÑapproached the senator as he
left the stage and thanked him for his remarks. ThatÕs the first Ômeeting.Õ And itÕs hardly an occasionÑmuch
less a venueÑin which a conspiracy to ÔinterfereÕ with the November election could be hatched.Ó
SessionsÕ second meeting with Kislyak was in his Senate office, but was a very public affair.
This is just another ÔscandalÕ orchestrated by liberals to discredit President Donald Trump and his
administration. DonÕt be fooled."
2017-03-05 15:35:51+00:00,http://americannews.com/trump-slams-pelosi-hard-may-never-work-politics-video/,0.014912281,Trump Slams Pelosi So Hard She May Never Work In Politics Again [VIDEO],"On Friday, President Trump got to exact sweet revenge on Democratic lunatics Nancy Pelosi and Chuck SchumerÑboth of whom demanded his attorney generalÕs resignation over past meetings with RussiaÕs ambassador. Of course, pictures have surfaced of the same lawmakers in similar meetingsÑÒhypocrisyÓ at its finest.
Pelosi and Schumer have both called for Attorney General Jeff Sessions to resign for meeting twice with Russian Ambassador Sergey Kislyak. Sessions had previously told lawmakers he had no ÒcommunicationsÓ with Russian officials. Sessions defended his answer, saying he was answering questions specific to the Trump Campaign.
In an earlier interview with Politico, House Minority Leader Nancy Pelosi claimed she had never met with Kislyak. But Politico unveiled a 2010 photo from a meeting of congressional lawmakers with then-Russian President Dmitry Medvedev. Both Pelosi and Kislyak were present at the meeting. Of course, her reps scrambled to cover PelosiÕs tracks, arguing that she meant Òshe has never had a private one-on-one with him.Ó
After targeting Senate Minority Leader Chuck Schumer for a photo with Putin, Trump called out Pelosi, tweeting: ÒI hereby demand a second investigation, after Schumer, of Pelosi for her close ties to Russia, and lying about it.Ó
We should start an immediate investigation into @SenSchumer and his ties to Russia and Putin. A total hypocrite! pic.twitter.com/Ik3yqjHzsA Ñ Donald J. Trump (@realDonaldTrump) March 3, 2017
Jesse Hunt, a spokesman for the National Republican Congressional Committee, agreed with Trump.
ÒNancy PelosiÕs hypocrisy and utter disregard for the truth has gummed up the Democratic PartyÕs faux outrage machine,Ó he said. ÒShe owes an explanation for why she knowingly misled the American public.Ó"
2017-03-05 07:01:30+00:00,http://americannews.com/breaking-donald-trump-just-no-one-ever-thought/,0.145858586,BREAKING: Donald Trump Just Did What No One Ever Thought He Would,"After his first travel ban was shut down by Democrats, President Trump is expected to sign a revised
executive order early next week. The measure will ban travel from several Middle Eastern and African
countries in an effort to prevent radical Islamic terror from reaching the United States.
On Saturday, a senior administration official confirmed that TrumpÕs new executive order could come
around as early as Monday. ThatÕs welcome news for most Americans, who voted for Trump in part
because of his strict approach to national security.
One of his first official acts was to sign executive orders that put the U.S. refugee program on hold and
stop travel from seven primarily-Muslim countries. Last week, Trump made it clear that he fully intends
to fulfill his campaign promiseÑdespite opposition from liberals.
ÒIt is not compassionate, but reckless, to allow uncontrolled entry from places where proper vetting
cannot occur,Ó Trump said. ÒWe cannot allow a beachhead of terrorism to form inside American. And we
cannot allow our nation to become a sanctuary for extremistsÉÓ
This has been an uphill battle for Trump. The federal appeals court blocked parts of TrumpÕs executive
orders and denied his administrationÕs request to immediately lift the ban.
This new order could be a huge step forward for our national security. Do you agree?"
2017-03-04 16:20:43+00:00,http://americannews.com/fbi-director-exposed-trying-take-trump-hes-finished/,-0.043573668,"FBI Director Exposed Trying To Take Down Trump, HeÕs Finished","The former British spy who authored the now-infamous dossier on Donald Trump, alleging ties between Trump and Russia, reportedly reached an agreement with the FBI a few weeks before the election for the bureau to pay him to continue his work. The agreement to compensate M16 agent Christopher Steele for his findings came as intelligence agencies reached a controversial consensus that Russians had interfered in the election by hacking liberalsÕ email accounts.
Trump was quick to assure the public that the dossier was simply Òfake news.Ó After the dossier went public, communications between the FBI and the former spy were ceasedÑand he was never paid according to plan.
Still, the relationship is extremely questionable, especially given that the FBI had previously hired Steele to help a U.S. inquiry in FIFA. Steele had more than two decades working on Russia-related issues for British intelligence. But his dossier was widely unsubstantiated. His claims remain unverified, and they have been strongly disputed by Trump and his team.
House Speaker Paul Ryan has confessed that he has seen Òno evidence so farÓ of Trump campaign contacts with Russia. The revelation that the FBI agreed to pay Steele only further damages his credibility.
Steele was reportedly frustrated when FBI Director James Comey made a public announcement that they were investing a new batch of Clinton emails just 11 days before the election.
In January, Trump was provided a summary of the core allegations of SteeleÕs dossierÑand news of that briefing was soon public knowledge. BuzzFeed became the source of controversy when they posted a copy of SteeleÕs dossier onlineÑwithout any evidence of its truth.
ÒItÕs all fake news,Ó Trump said. ÒItÕs phony stuff. It didnÕt happen.Ó
Trump later tweeted that Steele was a Òfake spy.Ó Democrats in the House have reached out to Steele since this has unfolded, to determine whether he is willing to testify or cooperate. He has not responded.
This is a key example of AmericaÕs intelligence agencies losing their credibilityÑand Comey remains in the line of fire for his extraordinarily poor judgment."
2017-03-03 17:21:40+00:00,http://americannews.com/house-dems-white-protest-trump-immediately-backfires-look-happened/,0.016728671,"House Dems Where White To Protest Trump And Immediately It Backfires, Look What Happened","A plan by Democrats to attack President Donald Trump during his joint address just failed in a major way. Democratic Congresswomen wore white to Òshow their commitment to protecting womenÕs rights.Ó Of course, white was the color worn by the suffragette movement that fought for womenÕs right to vote.
Before the speech, House Minority Leader Nancy Pelosi promised that DemocratsÕ attempt to embarrass Trump Òwill be very dignified.Ó We can only assume that meant toning it down from the pink vagina hats liberals have been sporting.
But the all-white fashion statement drew a different association than liberals originally intended. It didnÕt take long for the internet to be flooded with Ku Klux Klan references:
Of course, this was a reference to the fact that the Democratic Party has long been credited with starting the KKK.
While liberals were busy digging through their closets, President Trump was busy signing two laws promoting womenÕs advancement in STEM (science, technology, engineering, and math)."
